"Bicycle_669_(2, 2).jpg",0,0,,
"Bicycle_670_(0, 0).jpg",0,0,,
"Bicycle_670_(0, 1).jpg",1,1,,
"Bicycle_670_(0, 2).jpg",0,0,,
"Bicycle_670_(1, 0).jpg",0,0,,
"Bicycle_670_(1, 1).jpg",1,1,,
"Bicycle_670_(1, 2).jpg",1,0,그림자,
"Bicycle_670_(2, 0).jpg",0,0,,
"Bicycle_670_(2, 1).jpg",0,0,,
"Bicycle_670_(2, 2).jpg",0,0,,
"Bicycle_671_(0, 0).jpg",0,0,,
"Bicycle_671_(0, 1).jpg",0,0,,
"Bicycle_671_(0, 2).jpg",0,0,,
"Bicycle_671_(1, 0).jpg",0,0,,
"Bicycle_671_(1, 1).jpg",1,1,,
"Bicycle_671_(1, 2).jpg",0,0,,
"Bicycle_671_(2, 0).jpg",0,0,,
"Bicycle_671_(2, 1).jpg",0,0,,
"Bicycle_671_(2, 2).jpg",0,0,,
"Bicycle_672_(0, 0).jpg",0,0,,
"Bicycle_672_(0, 1).jpg",0,0,,
"Bicycle_672_(0, 2).jpg",0,0,,
"Bicycle_672_(1, 0).jpg",1,0,?,
"Bicycle_672_(1, 1).jpg",1,1,,
"Bicycle_672_(1, 2).jpg",1,0,바퀴 조금 걸림,
"Bicycle_672_(2, 0).jpg",0,0,,
"Bicycle_672_(2, 1).jpg",0,0,,
"Bicycle_672_(2, 2).jpg",0,0,,
"Bicycle_673_(0, 0).jpg",0,0,,
"Bicycle_673_(0, 1).jpg",0,0,,
"Bicycle_673_(0, 2).jpg",0,0,,
"Bicycle_673_(1, 0).jpg",1,0,,
"Bicycle_673_(1, 1).jpg",1,1,,
"Bicycle_673_(1, 2).jpg",0,0,,
"Bicycle_673_(2, 0).jpg",0,0,,
"Bicycle_673_(2, 1).jpg",0,0,,
"Bicycle_673_(2, 2).jpg",0,0,,
"Bicycle_674_(0, 0).jpg",0,0,,
"Bicycle_674_(0, 1).jpg",0,0,,자전거 타고있는 남자 머리만 있는데 잘 검출
"Bicycle_674_(0, 2).jpg",0,0,,
"Bicycle_674_(1, 0).jpg",0,0,,
"Bicycle_674_(1, 1).jpg",1,1,,
"Bicycle_674_(1, 2).jpg",0,0,,
"Bicycle_674_(2, 0).jpg",0,0,,
"Bicycle_674_(2, 1).jpg",1,1,자전거바퀴조금나왔는데 검출 (?) 애매하다.,
"Bicycle_674_(2, 2).jpg",0,0,,
"Bicycle_675_(0, 0).jpg",0,0,,
"Bicycle_675_(0, 1).jpg",1,0,잘못 검출,
"Bicycle_675_(0, 2).jpg",1,0,잘못 검출,
"Bicycle_675_(1, 0).jpg",1,1,,
"Bicycle_675_(1, 1).jpg",0,0,,
"Bicycle_675_(1, 2).jpg",0,0,,
"Bicycle_675_(2, 0).jpg",1,1,자전거바퀴조금나왔는데 검출 (?) 애매하다.,
"Bicycle_675_(2, 1).jpg",0,0,,
"Bicycle_675_(2, 2).jpg",0,0,,
"Bicycle_676_(0, 0).jpg",0,0,,
"Bicycle_676_(0, 1).jpg",0,0,,
"Bicycle_676_(0, 2).jpg",0,0,,
"Bicycle_676_(1, 0).jpg",0,0,,
"Bicycle_676_(1, 1).jpg",0,0,,자전거 몸통나왔는데 잘 검출
"Bicycle_676_(1, 2).jpg",1,1,,
"Bicycle_676_(2, 0).jpg",0,0,,
"Bicycle_676_(2, 1).jpg",0,0,,
"Bicycle_676_(2, 2).jpg",1,1,,자전거 몸통나왔는데 잘 검출
"Bicycle_677_(0, 0).jpg",0,0,,
"Bicycle_677_(0, 1).jpg",0,0,,
"Bicycle_677_(0, 2).jpg",0,0,,
"Bicycle_677_(1, 0).jpg",0,0,,자전거 앞 나왔는데 잘 검출
"Bicycle_677_(1, 1).jpg",1,1,,
"Bicycle_677_(1, 2).jpg",0,0,,
"Bicycle_677_(2, 0).jpg",0,0,,
"Bicycle_677_(2, 1).jpg",1,1,,
"Bicycle_677_(2, 2).jpg",0,0,,
"Bicycle_678_(0, 0).jpg",0,0,,
"Bicycle_678_(0, 1).jpg",0,0,,
"Bicycle_678_(0, 2).jpg",0,0,,
"Bicycle_678_(1, 0).jpg",1,1,,
"Bicycle_678_(1, 1).jpg",0,0,,잘 분리
"Bicycle_678_(1, 2).jpg",0,0,,
"Bicycle_678_(2, 0).jpg",1,1,,
"Bicycle_678_(2, 1).jpg",1,1,애매(?),
"Bicycle_678_(2, 2).jpg",0,0,,
"Bicycle_679_(0, 0).jpg",0,0,,
"Bicycle_679_(0, 1).jpg",0,0,,
"Bicycle_679_(0, 2).jpg",0,0,,
"Bicycle_679_(1, 0).jpg",0,0,애매(?),
"Bicycle_679_(1, 1).jpg",1,1,,
"Bicycle_679_(1, 2).jpg",0,0,,
"Bicycle_679_(2, 0).jpg",0,0,,
"Bicycle_679_(2, 1).jpg",0,0,,
"Bicycle_679_(2, 2).jpg",0,0,,
