"Motorcycle_1_(0, 0).jpg",0,0
"Motorcycle_1_(0, 1).jpg",0,0
"Motorcycle_1_(0, 2).jpg",0,0
"Motorcycle_1_(1, 0).jpg",0,0
"Motorcycle_1_(1, 1).jpg",0,0
"Motorcycle_1_(1, 2).jpg",0,1
"Motorcycle_1_(2, 0).jpg",0,0
"Motorcycle_1_(2, 1).jpg",0,0
"Motorcycle_1_(2, 2).jpg",0,0
"Motorcycle_2_(0, 0).jpg",0,0
"Motorcycle_2_(0, 1).jpg",0,0
"Motorcycle_2_(0, 2).jpg",0,0
"Motorcycle_2_(1, 0).jpg",0,1
"Motorcycle_2_(1, 1).jpg",1,1
"Motorcycle_2_(1, 2).jpg",0,0
"Motorcycle_2_(2, 0).jpg",0,0
"Motorcycle_2_(2, 1).jpg",0,0
"Motorcycle_2_(2, 2).jpg",0,0
"Motorcycle_3_(0, 0).jpg",0,0
"Motorcycle_3_(0, 1).jpg",0,0
"Motorcycle_3_(0, 2).jpg",0,0
"Motorcycle_3_(1, 0).jpg",0,0
"Motorcycle_3_(1, 1).jpg",0,1
"Motorcycle_3_(1, 2).jpg",0,0
"Motorcycle_3_(2, 0).jpg",0,0
"Motorcycle_3_(2, 1).jpg",0,0
"Motorcycle_3_(2, 2).jpg",0,0
"Motorcycle_4_(0, 0).jpg",0,0
"Motorcycle_4_(0, 1).jpg",0,0
"Motorcycle_4_(0, 2).jpg",0,0
"Motorcycle_4_(1, 0).jpg",0,1
"Motorcycle_4_(1, 1).jpg",0,1
"Motorcycle_4_(1, 2).jpg",0,0
"Motorcycle_4_(2, 0).jpg",0,1
"Motorcycle_4_(2, 1).jpg",0,1
"Motorcycle_4_(2, 2).jpg",0,0
"Motorcycle_5_(0, 0).jpg",1,1
"Motorcycle_5_(0, 1).jpg",0,0
"Motorcycle_5_(0, 2).jpg",0,0
"Motorcycle_5_(1, 0).jpg",0,1
"Motorcycle_5_(1, 1).jpg",0,0
"Motorcycle_5_(1, 2).jpg",0,0
"Motorcycle_5_(2, 0).jpg",0,0
"Motorcycle_5_(2, 1).jpg",0,0
"Motorcycle_5_(2, 2).jpg",0,0
"Motorcycle_6_(0, 0).jpg",0,0
"Motorcycle_6_(0, 1).jpg",0,0
"Motorcycle_6_(0, 2).jpg",0,0
"Motorcycle_6_(1, 0).jpg",1,1
"Motorcycle_6_(1, 1).jpg",1,1
"Motorcycle_6_(1, 2).jpg",0,0
"Motorcycle_6_(2, 0).jpg",0,1
"Motorcycle_6_(2, 1).jpg",0,1
"Motorcycle_6_(2, 2).jpg",0,0
"Motorcycle_7_(0, 0).jpg",0,0
"Motorcycle_7_(0, 1).jpg",0,0
"Motorcycle_7_(0, 2).jpg",0,0
"Motorcycle_7_(1, 0).jpg",0,0
"Motorcycle_7_(1, 1).jpg",1,1
"Motorcycle_7_(1, 2).jpg",0,0
"Motorcycle_7_(2, 0).jpg",0,1
"Motorcycle_7_(2, 1).jpg",0,0
"Motorcycle_7_(2, 2).jpg",0,0
"Motorcycle_8_(0, 0).jpg",0,0
"Motorcycle_8_(0, 1).jpg",0,0
"Motorcycle_8_(0, 2).jpg",0,0
"Motorcycle_8_(1, 0).jpg",0,1
"Motorcycle_8_(1, 1).jpg",1,0
"Motorcycle_8_(1, 2).jpg",0,0
"Motorcycle_8_(2, 0).jpg",0,0
"Motorcycle_8_(2, 1).jpg",0,0
"Motorcycle_8_(2, 2).jpg",0,0
"Motorcycle_9_(0, 0).jpg",1,1
